,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50
met21,,,,,,,,,5526138.056,,,,,,,,3122275.248,,,19651896.55,,,,,,9691257.232,4951881.833,10355965.03,3867191.263,16266648.89,,,,,,,,,,,,,,,,,,4924010.34,,
met22,4074222.788,2415221.48,1972730.847,3304312.097,1514398.914,4235334.855,104799.793,5221577.02,7492866.512,9444784.863,2952636.017,1650174.33,1139839.128,5490656.943,2536054.104,2861669.387,1053453.156,953682.9462,2617165.408,4852175.962,1456999.589,1495124.155,,1309318.15,2894467.365,8080252.146,7362403.842,2028556.66,6053436.518,161297.1844,2242203.166,3831302.937,165906,2810900.387,3119813.078,3898429.886,9223798.002,7417608.176,2088666,2593195.347,1885636.441,535713.888,659976.7698,2411919.796,1372014.459,6989756.115,2369992.04,5833024.594,893316.4993,7210375.192
met23,95342.89181,218740.64,459644.6649,,26439.18277,51887.19945,8753.100619,6480.060115,6349,215430,17948911.97,12029748.76,2085318.454,9849738.459,4711879.323,16003731.08,26953810.1,22902374.24,32514335.6,44288218.89,377290.6796,104505.6449,323579.4931,22480.2886,450926.4976,678293.0408,,3387983.852,615808.9846,,7719.314485,250446.5914,78958.9109,87097.75859,128238.6256,55203,,3559.462597,84982,7969.200609,107124.9361,10050.92146,56708.87115,489193.6327,367764.8357,,8700894.997,9706.435997,2410998.87,578446.9506
met24,,,,,,,,,,,,,,,,,,,,,1937097.802,1938991.052,1224794.561,877294.3589,1789685.937,,,,,970342.7691,,,,,,,,,,,3163384.873,4296828.287,1577974.643,2963710.446,603018.0686,,,,,
met25,9880.076692,,20715.06558,17078.90482,16711.24995,18895.46757,1374460.369,428077.8421,2028534.419,282190.7553,193666.1077,140980.1399,,9382.459474,531430.3437,163479.1876,297010.9421,429186.7552,199890.6821,1623201.005,1133335.598,742227.9498,106275.2079,201417.4737,989998.8016,359395.2772,856217.0375,727904.3166,293779.2324,1647010.843,39179.59669,96312.72681,58243.21484,13124.26043,26130.36102,9694.331253,76758.98665,259607.0057,166957.6093,16975.82198,1754237.069,1983495.302,600144.7222,1983683.889,141191.5289,1073117.817,1461100.962,529256.9853,78825.00809,52140.6961
met26,599708.4175,,2713219.224,,,,2036076.269,571609.6481,,,,191605.3691,,,,,,,,,,,,,,,,,,,,,,1021833.753,2243702.25,,3177884.928,,5564632.365,1186187.603,,,,,,,,,,
met27,,,,,,351690.5905,3126679.303,,3257449.923,2283532.347,,,,,,,,,,,,,,,,1380534.213,,,,2301136.67,,,,,,518650.6092,,2697894.388,4133891.192,,,,,,,,,,,
met28,93130.19143,,114434.8202,,55184.55601,1144519.487,9384468.606,3322705.361,11371307.3,7832034.684,2478395.086,68651.36482,338490.7749,3124976.367,3718496.549,3398840.282,907337.5222,3862522.377,1491577.902,25210105.21,4161596.371,2441147.182,725088.3037,35580.40086,41725.87044,416053.0852,266934.7763,781735.073,181256.4836,589720.3214,60561.96531,,379580.3295,,167220.4094,2896668.635,14371360.13,2334185.743,11273765.95,5052973.568,577961.8252,421986.9378,909530.9976,,76256.09468,949675.147,,110313.2146,,141630.1331
met29,,,,,,,,,,,25540415,20253978,4406415,28514754,32335018,67730938,37534589,36168822,41305557,147449676,,,,,,,,,,,,,,,,,,,,,,,,,,,14451555,,,
met30,,,,,,,,,,,264326379,316841582,329082967,222454697,113633375,81327464,261691021,244631686,314160257,82082985,216839530,177419159,322704349,186257394,206174885,,,,,,,,,,,,,,,,248003217,316033297,252351351,224369210,265788236,,181790374,,,
